CRIME_DESCRIPTION,CRIME_GROUP
ADULT-VULNERABLE-FINANCIAL,SOCIETY
ADULT-VULNERABLE-NEGLECT,SOCIETY
ADULT-VULNERABLE-PHYSICAL ABUSE,SOCIETY
ARSON-BUSINESS,PROPERTY
ARSON-OTHER,PROPERTY
ARSON-RESIDENCE,PROPERTY
ARSON-VEHICLE,PROPERTY
ASSLT-AGG-BODYFORCE,PERSON
ASSLT-AGG-CHILD-BODYFORCE,PERSON
ASSLT-AGG-DV-BODYFORCE ,PERSON
ASSLT-AGG-DV-GUN,PERSON
ASSLT-AGG-DV-WEAPON,PERSON
ASSLT-AGG-GUN,PERSON
ASSLT-AGG-POLICE-BODYFORCE,PERSON
ASSLT-AGG-POLICE-GUN,PERSON
ASSLT-AGG-POLICE-WEAPON,PERSON
ASSLT-AGG-WEAPON,PERSON
BURGLARY-FORCE-NONRES,PROPERTY
BURGLARY-FORCE-RES,PROPERTY
BURGLARY-NOFORCE-NONRES,PROPERTY
BURGLARY-NOFORCE-RES,PROPERTY
BURGLARY-OTHER,PROPERTY
BURGLARY-SECURE PARKING-NONRES,PROPERTY
BURGLARY-SECURE PARKING-RES,PROPERTY
CHILD-ABANDON,SOCIETY
CHILD-ABUSED-NOFORCE,SOCIETY
CHILD-ENDANGERMENT,SOCIETY
CHILD-HARBOR MINOR,SOCIETY
CHILD-NEGLECT,SOCIETY
CHILD-OTHER,SOCIETY
DISORDERLY CONDUCT,SOCIETY
DUI-DRUGS,SOCIETY
DUI-LIQUOR,SOCIETY
ENDANGERMENT,SOCIETY
GAMBLE-BETTING,SOCIETY
GAMBLE-OPERATE,SOCIETY
HARBOR - BOATING UNDER INFLUENCE,SOCIETY
HOMICIDE-NEG-MANS-BODYFORCE,PERSON
HOMICIDE-NEG-MANS-GUN,PERSON
HOMICIDE-NEG-MANS-VEHICLE,PERSON
HOMICIDE-PREMEDITATED-BODYFORCE,PERSON
HOMICIDE-PREMEDITATED-GUN,PERSON
HOMICIDE-PREMEDITATED-WEAPON,PERSON
HUMAN-TRAFFICKING-SEX,SOCIETY
INTERFERE WITH REPORT-DV,SOCIETY
LIQUOR LAW VIOLATION,SOCIETY
LOITERING,SOCIETY
NARC-DISTRIBUTE-HALLUCINOGEN,SOCIETY
NARC-DRUG TRAFFIC LOITERING,SOCIETY
NARC-EQUIPMENT/PARAPHENALIA,SOCIETY
NARC-FORGERY-PRESCRIPTION,SOCIETY
NARC-FRAUD-PRESCRIPTION,SOCIETY
NARC-MANUFACTURE-HALLUCINOGEN,SOCIETY
NARC-MANUFACTURE-METH,SOCIETY
NARC-MANUFACTURE-OTHER,SOCIETY
NARC-POSSESS-AMPHETAMINE,SOCIETY
NARC-POSSESS-BARBITUATE,SOCIETY
NARC-POSSESS-COCAINE,SOCIETY
NARC-POSSESS-HALLUCINOGEN,SOCIETY
NARC-POSSESS-HEROIN,SOCIETY
NARC-POSSESS-MARIJU,SOCIETY
NARC-POSSESS-METH,SOCIETY
NARC-POSSESS-OPIUM,SOCIETY
NARC-POSSESS-OTHER,SOCIETY
NARC-POSSESS-PILL/TABLET,SOCIETY
NARC-POSSESS-PRESCRIPTION,SOCIETY
NARC-POSSESS-SYNTHETIC ,SOCIETY
NARC-PRODUCE-MARIJU,SOCIETY
NARC-SELL-AMPHETAMINE,SOCIETY
NARC-SELL-BARBITUATE,SOCIETY
NARC-SELL-COCAINE,SOCIETY
NARC-SELL-HALLUCINOGEN,SOCIETY
NARC-SELL-HEROIN,SOCIETY
NARC-SELL-MARIJU,SOCIETY
NARC-SELL-METH,SOCIETY
NARC-SELL-OPIUM,SOCIETY
NARC-SELL-OTHER,SOCIETY
NARC-SELL-PILL/TABLET,SOCIETY
NARC-SELL-PRESCRIPTION,SOCIETY
NARC-SELL-SYNTHETIC ,SOCIETY
NARC-SMUGGLE-COCAINE,SOCIETY
NARC-SMUGGLE-HEROIN,SOCIETY
NARC-SMUGGLE-MARIJU,SOCIETY
NARC-SMUGGLE-METH,SOCIETY
NARC-SMUGGLE-OTHER,SOCIETY
PORNOGRAPHY-OBSCENE MATERIAL,SOCIETY
PROSTITUTION,SOCIETY
PROSTITUTION LOITERING,SOCIETY
PROSTITUTION PATRONIZING,SOCIETY
PROSTITUTION-ASSIST-PROMOTE,SOCIETY
RAPE-GUN,PERSON
RAPE-OTHER,PERSON
RAPE-STRONGARM,PERSON
RAPE-WEAPON,PERSON
ROBBERY-BANK-BODYFORCE,PERSON
ROBBERY-BANK-GUN,PERSON
ROBBERY-BANK-OTHER,PERSON
ROBBERY-BANK-WEAPON,PERSON
ROBBERY-BUSINESS-BODYFORCE,PERSON
ROBBERY-BUSINESS-GUN,PERSON
ROBBERY-BUSINESS-WEAPON,PERSON
ROBBERY-OTHER,PERSON
ROBBERY-RESIDENCE-BODYFORCE,PERSON
ROBBERY-RESIDENCE-GUN,PERSON
ROBBERY-RESIDENCE-WEAPON,PERSON
ROBBERY-STREET-BODYFORCE,PERSON
ROBBERY-STREET-GUN,PERSON
ROBBERY-STREET-WEAPON,PERSON
SEX ABUSE MINOR-COMMERCIAL,SOCIETY
SEX ABUSE MINOR-PROMO COMMERC,SOCIETY
SEXOFF-INDECENT EXPOSURE,PERSON
SEXOFF-INDECENT LIBERTIES,PERSON
SEXOFF-LEWD CONDUCT,PERSON
SEXOFF-OTHER,PERSON
SEXOFF-OTHER OBJECT,PERSON
SEXOFF-PEEPER,PERSON
SEXOFF-SODOMY,PERSON
THEFT-AUTO PARTS,PROPERTY
THEFT-AUTOACC,PROPERTY
THEFT-BICYCLE,PROPERTY
THEFT-BOAT,PROPERTY
THEFT-BUILDING,PROPERTY
THEFT-CARPROWL,PROPERTY
THEFT-COINOP,PROPERTY
THEFT-LICENSE PLATE,PROPERTY
THEFT-MAIL,PROPERTY
THEFT-OTH,PROPERTY
THEFT-PKPOCKET,PROPERTY
THEFT-PRSNATCH,PROPERTY
THEFT-SHOPLIFT,PROPERTY
TRESPASS,SOCIETY
VEH-THEFT-AUTO,PROPERTY
VEH-THEFT-BUS,PROPERTY
VEH-THEFT-HVYEQUIP,PROPERTY
VEH-THEFT-MTRCYCLE,PROPERTY
VEH-THEFT-OTHVEH,PROPERTY
VEH-THEFT-RECREATION VEH,PROPERTY
VEH-THEFT-TRAILER,PROPERTY
VEH-THEFT-TRUCK,PROPERTY
WEAPON-CONCEALED,SOCIETY
WEAPON-DISCHARGE,SOCIETY
WEAPON-POSSESSION,SOCIETY
WEAPON-UNLAWFUL USE,SOCIETY
